;course;daytime/evening attendance;previous qualification (grade);displaced;tuition fees up to date;scholarship holder;curricular units 1st sem (evaluations);curricular units 1st sem (grade);unemployment rate;inflation rate;gdp;target
1909;Ciencias de la Salud;1;Desemp. Basico;1;1;0;MB;Desemp. Alto;Unemployment R. Bajo;M;GDP. Medio;Graduate
1910;Diseno;1;Desemp. Basico;1;1;0;B;Desemp. Basico;Unemployment R. Alto;B;GDP. Medio;Graduate
1911;Ciencias de la Salud;1;Desemp. Basico;1;1;0;B;Desemp. Basico;Unemployment R. Bajo;B;GDP. Muy Bajo;Graduate
1912;Ciencias de la Salud;1;Desemp. Basico;1;1;0;B;Desemp. Basico;Unemployment R. Superior;B;GDP. Bajo;Graduate
1913;Ciencias Sociales;0;Desemp. Basico;0;0;0;B;Desemp. Bajo;Unemployment R. Bajo;M;GDP. Medio;Dropout
1914;Ciencias Sociales;1;Desemp. Basico;1;1;0;B;Desemp. Alto;Unemployment R. Bajo;M;GDP. Medio;Graduate
1915;Ciencias de la Salud;1;Desemp. Basico;1;1;0;MB;Desemp. Basico;Unemployment R. Bajo;M;GDP. Medio;Graduate
1916;Ciencias de la Salud;1;Desemp. Basico;1;1;1;MB;Desemp. Basico;Unemployment R. Bajo;M;GDP. Medio;Graduate
1917;Ciencias de la Salud;1;Desemp. Basico;1;1;0;MB;Desemp. Basico;Unemployment R. Superior;B;GDP. Bajo;Graduate
1918;Diseno;1;Desemp. Basico;1;1;1;B;Desemp. Bajo;Unemployment R. Alto;A;GDP. Bajo;Graduate
1919;Diseno;1;Desemp. Basico;0;1;0;B;Desemp. Basico;Unemployment R. Alto;B;GDP. Medio;Enrolled
1920;Ciencias de la Salud;1;Desemp. Basico;1;1;0;B;Desemp. Alto;Unemployment R. Alto;B;GDP. Medio;Enrolled
1921;Ciencias Sociales;1;Desemp. Basico;1;1;0;MB;Desemp. Basico;Unemployment R. Bajo;B;GDP. Muy Bajo;Graduate
1922;Ciencias Sociales;1;Desemp. Basico;0;1;0;B;Desemp. Basico;Unemployment R. Bajo;B;GDP. Muy Bajo;Enrolled
1923;Ciencias Exactas;1;Desemp. Basico;0;1;0;MB;Desemp. Basico;Unemployment R. Bajo;B;GDP. Muy Bajo;Graduate
1924;Diseno;1;Desemp. Basico;0;1;1;MB;Desemp. Basico;Unemployment R. Superior;M;GDP. Muy Bajo;Dropout
1925;Ciencias Sociales;1;Desemp. Basico;0;1;0;B;Desemp. Basico;Unemployment R. Medio;B;GDP. Alto;Graduate
1926;Ciencias de la Salud;1;Desemp. Basico;1;1;1;MB;Desemp. Basico;Unemployment R. Medio;M;GDP. Medio;Graduate
1927;Ciencias Sociales;1;Desemp. Basico;0;1;1;MB;Desemp. Basico;Unemployment R. Alto;B;GDP. Medio;Graduate
1928;Diseno;1;Desemp. Basico;0;0;1;MB;Desemp. Bajo;Unemployment R. Bajo;M;GDP. Alto;Enrolled
1929;Ciencias de la Salud;1;Desemp. Basico;1;1;1;MB;Desemp. Alto;Unemployment R. Medio;B;GDP. Alto;Graduate
1930;Ciencias de la Salud;1;Desemp. Basico;1;1;0;B;Desemp. Basico;Unemployment R. Superior;M;GDP. Muy Bajo;Graduate
1931;Diseno;1;Desemp. Basico;1;1;0;MB;Desemp. Alto;Unemployment R. Alto;B;GDP. Medio;Graduate
1932;Ciencias Sociales;1;Desemp. Basico;1;1;0;B;Desemp. Bajo;Unemployment R. Bajo;M;GDP. Alto;Graduate
1933;Ciencias de la Salud;1;Desemp. Basico;0;1;1;B;Desemp. Basico;Unemployment R. Bajo;B;GDP. Muy Bajo;Graduate
1934;Ciencias de la Salud;1;Desemp. Basico;1;1;1;MB;Desemp. Basico;Unemployment R. Alto;B;GDP. Medio;Graduate
1935;Ciencias de la Salud;1;Desemp. Basico;1;1;0;MB;Desemp. Basico;Unemployment R. Medio;B;GDP. Alto;Graduate
1936;Ciencias Agrarias;1;Desemp. Basico;1;1;0;B;Desemp. Basico;Unemployment R. Alto;B;GDP. Medio;Graduate
1937;Ciencias de la Salud;1;Desemp. Basico;0;1;0;MB;Desemp. Basico;Unemployment R. Bajo;M;GDP. Medio;Graduate
1938;Ciencias de la Salud;1;Desemp. Basico;0;1;0;B;Desemp. Basico;Unemployment R. Alto;B;GDP. Medio;Dropout
1939;Ciencias Sociales;1;Desemp. Basico;1;1;0;B;Desemp. Basico;Unemployment R. Medio;B;GDP. Alto;Graduate
1940;Ciencias Sociales;1;Desemp. Basico;1;1;1;B;Desemp. Basico;Unemployment R. Bajo;M;GDP. Alto;Graduate
1941;Ciencias Sociales;1;Desemp. Bajo;1;1;0;MB;Desemp. Basico;Unemployment R. Bajo;M;GDP. Alto;Graduate
1942;Diseno;1;Desemp. Basico;0;1;1;MB;Desemp. Alto;Unemployment R. Medio;B;GDP. Alto;Graduate
1943;Diseno;1;Desemp. Basico;1;1;0;MB;Desemp. Basico;Unemployment R. Alto;B;GDP. Medio;Graduate
1944;Ciencias Sociales;1;Desemp. Bajo;1;1;1;MB;Desemp. Basico;Unemployment R. Alto;B;GDP. Medio;Dropout
1945;Ciencias de la Salud;1;Desemp. Basico;1;1;0;MB;Desemp. Alto;Unemployment R. Alto;B;GDP. Medio;Graduate
1946;Ciencias de la Salud;1;Desemp. Alto;0;1;0;B;Desemp. Alto;Unemployment R. Bajo;B;GDP. Muy Bajo;Graduate
1947;Ciencias de la Salud;1;Desemp. Basico;1;1;0;B;Desemp. Bajo;Unemployment R. Alto;A;GDP. Bajo;Graduate
1948;Ciencias Sociales;1;Desemp. Basico;1;1;1;MB;Desemp. Basico;Unemployment R. Bajo;B;GDP. Muy Bajo;Graduate
1949;Ciencias de la Salud;1;Desemp. Bajo;0;1;0;B;Desemp. Bajo;Unemployment R. Superior;M;GDP. Muy Bajo;Graduate
1950;Ciencias Sociales;1;Desemp. Basico;0;1;0;MB;Desemp. Muy Bajo;Unemployment R. Medio;B;GDP. Alto;Dropout
1951;Ciencias Sociales;1;Desemp. Basico;1;1;0;MB;Desemp. Muy Bajo;Unemployment R. Medio;M;GDP. Medio;Dropout
1952;Diseno;1;Desemp. Basico;1;0;0;MB;Desemp. Muy Bajo;Unemployment R. Medio;M;GDP. Medio;Dropout
1953;Ciencias Sociales;1;Desemp. Basico;1;1;1;MB;Desemp. Basico;Unemployment R. Bajo;M;GDP. Alto;Graduate
1954;Ciencias de la Salud;1;Desemp. Basico;1;1;0;B;Desemp. Basico;Unemployment R. Medio;M;GDP. Medio;Enrolled
1955;Ciencias Sociales;1;Desemp. Basico;1;1;0;B;Desemp. Basico;Unemployment R. Alto;B;GDP. Medio;Graduate
1956;Ciencias Sociales;1;Desemp. Basico;1;1;0;B;Desemp. Bajo;Unemployment R. Alto;B;GDP. Medio;Enrolled
1957;Ciencias de la Salud;1;Desemp. Basico;0;1;0;B;Desemp. Alto;Unemployment R. Medio;M;GDP. Medio;Graduate
1958;Ciencias Sociales;1;Desemp. Basico;1;1;0;B;Desemp. Bajo;Unemployment R. Medio;B;GDP. Alto;Dropout
1959;Ciencias de la Salud;1;Desemp. Basico;1;0;0;B;Desemp. Basico;Unemployment R. Bajo;M;GDP. Alto;Enrolled
1960;Ciencias Sociales;1;Desemp. Basico;1;1;1;MB;Desemp. Basico;Unemployment R. Bajo;B;GDP. Muy Bajo;Graduate
1961;Ciencias de la Salud;1;Desemp. Basico;0;1;1;B;Desemp. Muy Bajo;Unemployment R. Bajo;B;GDP. Muy Bajo;Enrolled
1962;Diseno;1;Desemp. Bajo;1;1;1;B;Desemp. Basico;Unemployment R. Alto;B;GDP. Medio;Graduate
1963;Ciencias de la Salud;1;Desemp. Basico;1;1;1;B;Desemp. Basico;Unemployment R. Alto;B;GDP. Medio;Graduate
1964;Ciencias de la Salud;1;Desemp. Basico;1;1;0;B;Desemp. Bajo;Unemployment R. Alto;A;GDP. Bajo;Graduate
1965;Ciencias Agrarias;1;Desemp. Basico;1;1;0;B;Desemp. Basico;Unemployment R. Superior;M;GDP. Muy Bajo;Graduate
1966;Ciencias de la Salud;1;Desemp. Basico;0;1;0;B;Desemp. Basico;Unemployment R. Bajo;B;GDP. Muy Bajo;Graduate
1967;Ciencias de la Salud;1;Desemp. Basico;1;1;0;B;Desemp. Basico;Unemployment R. Bajo;B;GDP. Muy Bajo;Enrolled
1968;Ciencias Sociales;1;Desemp. Basico;0;1;0;B;Desemp. Basico;Unemployment R. Alto;A;GDP. Bajo;Enrolled
1969;Diseno;1;Desemp. Basico;1;1;0;MB;Desemp. Basico;Unemployment R. Alto;B;GDP. Medio;Graduate
1970;Ciencias Sociales;1;Desemp. Basico;0;1;0;IB;Desemp. Basico;Unemployment R. Medio;B;GDP. Alto;Enrolled
1971;Ciencias de la Salud;1;Desemp. Basico;1;1;1;MB;Desemp. Alto;Unemployment R. Bajo;M;GDP. Alto;Graduate
1972;Diseno;1;Desemp. Basico;0;1;1;MB;Desemp. Bajo;Unemployment R. Medio;M;GDP. Medio;Dropout
1973;Ciencias Exactas;1;Desemp. Basico;0;1;1;MB;Desemp. Bajo;Unemployment R. Alto;A;GDP. Bajo;Graduate
1974;Ciencias de la Salud;1;Desemp. Basico;1;1;0;B;Desemp. Basico;Unemployment R. Alto;B;GDP. Medio;Graduate
1975;Diseno;1;Desemp. Basico;1;1;0;B;Desemp. Basico;Unemployment R. Medio;B;GDP. Alto;Dropout
1976;Ciencias de la Salud;1;Desemp. Basico;1;1;0;B;Desemp. Basico;Unemployment R. Medio;B;GDP. Alto;Enrolled
1977;Ciencias Sociales;1;Desemp. Basico;0;1;0;MB;Desemp. Basico;Unemployment R. Alto;B;GDP. Medio;Graduate
1978;Ciencias de la Salud;1;Desemp. Basico;0;1;0;MB;Desemp. Alto;Unemployment R. Alto;B;GDP. Medio;Enrolled
1979;Diseno;1;Desemp. Basico;1;1;1;B;Desemp. Basico;Unemployment R. Alto;B;GDP. Medio;Graduate
1980;Ciencias Exactas;1;Desemp. Basico;1;1;1;B;Desemp. Bajo;Unemployment R. Alto;B;GDP. Medio;Graduate
1981;Ciencias Sociales;1;Desemp. Bajo;1;1;1;B;Desemp. Bajo;Unemployment R. Bajo;M;GDP. Alto;Graduate
1982;Ciencias de la Salud;1;Desemp. Basico;1;1;1;B;Desemp. Basico;Unemployment R. Medio;M;GDP. Medio;Graduate
1983;Ciencias de la Salud;1;Desemp. Basico;0;1;0;MB;Desemp. Basico;Unemployment R. Bajo;M;GDP. Medio;Graduate
1984;Ciencias de la Salud;1;Desemp. Alto;1;1;1;B;Desemp. Alto;Unemployment R. Bajo;B;GDP. Muy Bajo;Graduate
1985;Ciencias Sociales;1;Desemp. Bajo;1;1;1;B;Desemp. Bajo;Unemployment R. Alto;A;GDP. Bajo;Graduate
1986;Ciencias de la Salud;1;Desemp. Basico;0;1;1;B;Desemp. Alto;Unemployment R. Bajo;B;GDP. Muy Bajo;Graduate
1987;Ciencias Exactas;0;Desemp. Basico;0;1;0;MB;Desemp. Muy Bajo;Unemployment R. Bajo;B;GDP. Muy Bajo;Enrolled
1988;Ciencias de la Salud;1;Desemp. Bajo;1;1;1;B;Desemp. Basico;Unemployment R. Medio;B;GDP. Alto;Graduate
1989;Diseno;1;Desemp. Basico;1;1;0;B;Desemp. Bajo;Unemployment R. Bajo;M;GDP. Alto;Enrolled
1990;Ciencias Sociales;0;Desemp. Basico;0;1;0;B;Desemp. Basico;Unemployment R. Medio;M;GDP. Medio;Graduate
1991;Diseno;1;Desemp. Basico;1;1;0;MB;Desemp. Muy Bajo;Unemployment R. Medio;M;GDP. Medio;Dropout
1992;Ciencias Sociales;0;Desemp. Basico;0;1;0;MB;Desemp. Bajo;Unemployment R. Bajo;M;GDP. Alto;Enrolled
1993;Ciencias Exactas;1;Desemp. Basico;0;1;0;MB;Desemp. Basico;Unemployment R. Medio;B;GDP. Alto;Graduate
1994;Ciencias Sociales;1;Desemp. Basico;1;1;1;B;Desemp. Muy Bajo;Unemployment R. Bajo;M;GDP. Medio;Dropout
1995;Ciencias Sociales;1;Desemp. Basico;1;1;0;B;Desemp. Bajo;Unemployment R. Bajo;M;GDP. Medio;Graduate
1996;Ciencias de la Salud;1;Desemp. Basico;1;1;0;B;Desemp. Basico;Unemployment R. Alto;B;GDP. Medio;Graduate
1997;Ciencias Sociales;1;Desemp. Basico;0;1;0;MB;Desemp. Basico;Unemployment R. Alto;B;GDP. Medio;Graduate
1998;Ciencias Sociales;0;Desemp. Basico;1;1;0;B;Desemp. Muy Bajo;Unemployment R. Bajo;B;GDP. Muy Bajo;Dropout
1999;Ciencias Exactas;1;Desemp. Basico;0;0;0;IB;Desemp. Bajo;Unemployment R. Superior;B;GDP. Bajo;Graduate
2000;Ciencias Sociales;1;Desemp. Basico;1;0;0;B;Desemp. Bajo;Unemployment R. Bajo;M;GDP. Alto;Dropout
2001;Ciencias Sociales;1;Desemp. Alto;0;1;1;MB;Desemp. Basico;Unemployment R. Superior;M;GDP. Muy Bajo;Dropout
2002;Ciencias Sociales;1;Desemp. Basico;0;1;0;B;Desemp. Basico;Unemployment R. Bajo;M;GDP. Alto;Graduate
2003;Ciencias Sociales;1;Desemp. Basico;1;1;1;B;Desemp. Bajo;Unemployment R. Medio;M;GDP. Medio;Dropout
2004;Ciencias Sociales;1;Desemp. Basico;1;0;0;B;Desemp. Muy Bajo;Unemployment R. Bajo;B;GDP. Muy Bajo;Dropout
2005;Ciencias de la Salud;1;Desemp. Basico;0;1;0;MB;Desemp. Alto;Unemployment R. Bajo;M;GDP. Medio;Graduate
2006;Ciencias Sociales;0;Desemp. Basico;0;1;0;MB;Desemp. Alto;Unemployment R. Medio;M;GDP. Medio;Graduate
2007;Ciencias de la Salud;1;Desemp. Basico;1;1;1;B;Desemp. Alto;Unemployment R. Superior;M;GDP. Muy Bajo;Graduate
2008;Diseno;1;Desemp. Basico;1;1;0;MB;Desemp. Muy Bajo;Unemployment R. Bajo;M;GDP. Medio;Graduate
2009;Ciencias Sociales;1;Desemp. Basico;0;1;0;MB;Desemp. Muy Bajo;Unemployment R. Bajo;M;GDP. Medio;Dropout
2010;Ciencias Sociales;1;Desemp. Basico;0;1;1;B;Desemp. Basico;Unemployment R. Medio;B;GDP. Alto;Graduate
2011;Ciencias Exactas;0;Desemp. Bajo;0;1;0;MB;Desemp. Bajo;Unemployment R. Superior;M;GDP. Muy Bajo;Graduate
2012;Ciencias Sociales;1;Desemp. Basico;0;1;0;MB;Desemp. Basico;Unemployment R. Bajo;M;GDP. Medio;Dropout
2013;Ciencias Sociales;1;Desemp. Bajo;0;0;0;MB;Desemp. Muy Bajo;Unemployment R. Medio;M;GDP. Medio;Dropout
2014;Ciencias Agrarias;1;Desemp. Basico;0;0;0;MB;Desemp. Muy Bajo;Unemployment R. Superior;M;GDP. Muy Bajo;Dropout
2015;Ciencias Sociales;1;Desemp. Bajo;1;1;0;MB;Desemp. Bajo;Unemployment R. Medio;B;GDP. Alto;Graduate
2016;Ciencias Sociales;1;Desemp. Alto;1;1;0;B;Desemp. Basico;Unemployment R. Bajo;B;GDP. Muy Bajo;Graduate
2017;Ciencias de la Salud;1;Desemp. Basico;0;1;0;MB;Desemp. Basico;Unemployment R. Superior;B;GDP. Bajo;Graduate
2018;Ciencias Sociales;1;Desemp. Bajo;1;1;0;B;Desemp. Bajo;Unemployment R. Alto;B;GDP. Medio;Enrolled
2019;Ciencias Sociales;1;Desemp. Basico;1;1;1;MB;Desemp. Basico;Unemployment R. Alto;A;GDP. Bajo;Graduate
2020;Ciencias Agrarias;1;Desemp. Alto;1;0;0;B;Desemp. Muy Bajo;Unemployment R. Superior;M;GDP. Muy Bajo;Dropout
2021;Ciencias Sociales;1;Desemp. Basico;0;0;0;MB;Desemp. Muy Bajo;Unemployment R. Alto;A;GDP. Bajo;Dropout
2022;Diseno;1;Desemp. Basico;1;1;0;MB;Desemp. Muy Bajo;Unemployment R. Medio;M;GDP. Medio;Dropout
2023;Diseno;1;Desemp. Bajo;1;1;0;MB;Desemp. Bajo;Unemployment R. Bajo;M;GDP. Alto;Graduate
2024;Ciencias Exactas;0;Desemp. Basico;0;1;0;B;Desemp. Bajo;Unemployment R. Bajo;B;GDP. Muy Bajo;Enrolled
2025;Ciencias de la Salud;1;Desemp. Basico;0;1;0;MB;Desemp. Bajo;Unemployment R. Alto;B;GDP. Medio;Graduate
2026;Diseno;1;Desemp. Bajo;1;1;0;MB;Desemp. Muy Bajo;Unemployment R. Bajo;B;GDP. Muy Bajo;Graduate
2027;Diseno;1;Desemp. Basico;1;1;0;MB;Desemp. Muy Bajo;Unemployment R. Superior;M;GDP. Muy Bajo;Enrolled
2028;Ciencias de la Salud;1;Desemp. Basico;1;1;1;MB;Desemp. Basico;Unemployment R. Bajo;M;GDP. Medio;Graduate
2029;Ciencias Sociales;1;Desemp. Basico;1;1;0;MB;Desemp. Basico;Unemployment R. Alto;A;GDP. Bajo;Graduate
2030;Ciencias de la Salud;1;Desemp. Basico;1;1;0;MB;Desemp. Alto;Unemployment R. Medio;B;GDP. Alto;Graduate
2031;Ciencias Sociales;1;Desemp. Basico;0;1;0;B;Desemp. Basico;Unemployment R. Alto;A;GDP. Bajo;Dropout
2032;Ciencias de la Salud;1;Desemp. Basico;1;1;0;IB;Desemp. Basico;Unemployment R. Superior;M;GDP. Muy Bajo;Graduate
2033;Ciencias Exactas;0;Desemp. Bajo;1;1;0;MB;Desemp. Muy Bajo;Unemployment R. Alto;A;GDP. Bajo;Dropout
2034;Ciencias Sociales;1;Desemp. Basico;0;1;1;B;Desemp. Basico;Unemployment R. Medio;M;GDP. Medio;Graduate
2035;Ciencias de la Salud;1;Desemp. Bajo;0;1;0;MB;Desemp. Alto;Unemployment R. Superior;M;GDP. Muy Bajo;Enrolled
2036;Ciencias Exactas;1;Desemp. Basico;1;1;0;B;Desemp. Muy Bajo;Unemployment R. Bajo;M;GDP. Medio;Dropout
2037;Ciencias Agrarias;1;Desemp. Basico;0;1;0;B;Desemp. Bajo;Unemployment R. Bajo;B;GDP. Muy Bajo;Dropout
2038;Diseno;1;Desemp. Basico;0;1;0;MB;Desemp. Bajo;Unemployment R. Bajo;B;GDP. Muy Bajo;Graduate
2039;Ciencias Sociales;1;Desemp. Basico;1;1;1;MB;Desemp. Basico;Unemployment R. Medio;M;GDP. Medio;Graduate
2040;Ciencias Sociales;1;Desemp. Basico;1;0;0;B;Desemp. Bajo;Unemployment R. Medio;M;GDP. Medio;Dropout
2041;Ciencias Exactas;0;Desemp. Basico;0;1;0;B;Desemp. Basico;Unemployment R. Bajo;M;GDP. Alto;Graduate
2042;Ciencias Sociales;1;Desemp. Basico;1;1;0;MB;Desemp. Basico;Unemployment R. Bajo;M;GDP. Medio;Graduate
2043;Ciencias Sociales;1;Desemp. Basico;1;1;0;MB;Desemp. Basico;Unemployment R. Alto;B;GDP. Medio;Graduate
2044;Ciencias de la Salud;1;Desemp. Basico;1;1;0;MB;Desemp. Basico;Unemployment R. Alto;B;GDP. Medio;Graduate
2045;Ciencias de la Salud;1;Desemp. Basico;0;1;0;B;Desemp. Basico;Unemployment R. Alto;B;GDP. Medio;Graduate
2046;Ciencias de la Salud;1;Desemp. Basico;1;1;0;MB;Desemp. Muy Bajo;Unemployment R. Alto;B;GDP. Medio;Dropout
2047;Ciencias de la Salud;1;Desemp. Basico;1;1;0;B;Desemp. Basico;Unemployment R. Medio;B;GDP. Alto;Dropout
2048;Ciencias de la Salud;1;Desemp. Basico;1;1;0;MB;Desemp. Basico;Unemployment R. Alto;B;GDP. Medio;Graduate
2049;Ciencias de la Salud;1;Desemp. Basico;1;1;0;B;Desemp. Basico;Unemployment R. Alto;A;GDP. Bajo;Graduate
2050;Ciencias Sociales;1;Desemp. Basico;0;1;0;B;Desemp. Bajo;Unemployment R. Superior;M;GDP. Muy Bajo;Graduate
2051;Ciencias Sociales;1;Desemp. Basico;1;1;1;MB;Desemp. Bajo;Unemployment R. Superior;M;GDP. Muy Bajo;Graduate
2052;Ciencias Sociales;1;Desemp. Basico;1;1;0;MB;Desemp. Muy Bajo;Unemployment R. Alto;A;GDP. Bajo;Dropout
2053;Ciencias de la Salud;1;Desemp. Basico;1;1;0;B;Desemp. Basico;Unemployment R. Alto;B;GDP. Medio;Enrolled
2054;Ciencias de la Salud;1;Desemp. Basico;1;1;1;B;Desemp. Basico;Unemployment R. Superior;B;GDP. Bajo;Graduate
2055;Diseno;1;Desemp. Basico;1;1;1;MB;Desemp. Alto;Unemployment R. Medio;B;GDP. Alto;Graduate
2056;Ciencias Agrarias;1;Desemp. Basico;0;1;1;B;Desemp. Basico;Unemployment R. Bajo;M;GDP. Alto;Graduate
2057;Ciencias de la Salud;1;Desemp. Basico;0;1;0;B;Desemp. Basico;Unemployment R. Alto;B;GDP. Medio;Enrolled
2058;Ciencias Exactas;1;Desemp. Basico;1;1;1;MB;Desemp. Basico;Unemployment R. Bajo;B;GDP. Muy Bajo;Graduate
2059;Ciencias de la Salud;1;Desemp. Basico;0;0;0;B;Desemp. Basico;Unemployment R. Superior;B;GDP. Bajo;Dropout
2060;Ciencias de la Salud;1;Desemp. Basico;1;1;1;MB;Desemp. Basico;Unemployment R. Superior;B;GDP. Bajo;Graduate
2061;Ciencias de la Salud;1;Desemp. Basico;1;1;1;B;Desemp. Basico;Unemployment R. Medio;M;GDP. Medio;Graduate
2062;Ciencias de la Salud;1;Desemp. Basico;1;1;0;B;Desemp. Basico;Unemployment R. Alto;A;GDP. Bajo;Graduate
2063;Ciencias de la Salud;1;Desemp. Basico;1;1;0;B;Desemp. Basico;Unemployment R. Superior;B;GDP. Bajo;Graduate
2064;Ciencias Exactas;1;Desemp. Basico;1;1;0;MB;Desemp. Basico;Unemployment R. Bajo;M;GDP. Alto;Graduate
2065;Ciencias Sociales;1;Desemp. Basico;1;1;1;MB;Desemp. Basico;Unemployment R. Superior;M;GDP. Muy Bajo;Graduate
2066;Ciencias Sociales;1;Desemp. Basico;1;1;1;MB;Desemp. Basico;Unemployment R. Bajo;M;GDP. Alto;Graduate
2067;Diseno;1;Desemp. Basico;1;1;1;MB;Desemp. Basico;Unemployment R. Superior;M;GDP. Muy Bajo;Graduate
2068;Ciencias Sociales;1;Desemp. Basico;1;1;0;B;Desemp. Basico;Unemployment R. Superior;M;GDP. Muy Bajo;Enrolled
2069;Ciencias Exactas;1;Desemp. Basico;1;0;0;B;Desemp. Muy Bajo;Unemployment R. Bajo;B;GDP. Muy Bajo;Dropout
2070;Diseno;1;Desemp. Bajo;1;1;0;MB;Desemp. Basico;Unemployment R. Bajo;M;GDP. Alto;Graduate
2071;Ciencias de la Salud;1;Desemp. Basico;1;1;0;MB;Desemp. Basico;Unemployment R. Bajo;M;GDP. Medio;Graduate
2072;Diseno;1;Desemp. Basico;1;1;0;B;Desemp. Basico;Unemployment R. Superior;M;GDP. Muy Bajo;Graduate
2073;Ciencias de la Salud;1;Desemp. Basico;1;1;1;MB;Desemp. Alto;Unemployment R. Medio;M;GDP. Medio;Graduate
2074;Ciencias Sociales;1;Desemp. Basico;1;1;1;MB;Desemp. Basico;Unemployment R. Alto;B;GDP. Medio;Graduate
2075;Ciencias Sociales;1;Desemp. Basico;0;1;1;MB;Desemp. Alto;Unemployment R. Alto;B;GDP. Medio;Graduate
2076;Ciencias Sociales;1;Desemp. Basico;1;1;0;B;Desemp. Bajo;Unemployment R. Medio;M;GDP. Medio;Graduate
2077;Ciencias de la Salud;1;Desemp. Basico;1;1;0;B;Desemp. Alto;Unemployment R. Bajo;B;GDP. Muy Bajo;Graduate
2078;Ciencias de la Salud;1;Desemp. Basico;1;1;0;B;Desemp. Basico;Unemployment R. Alto;B;GDP. Medio;Graduate
2079;Ciencias de la Salud;1;Desemp. Basico;1;1;1;MB;Desemp. Alto;Unemployment R. Bajo;M;GDP. Medio;Graduate
2080;Ciencias de la Salud;1;Desemp. Basico;0;1;1;B;Desemp. Basico;Unemployment R. Alto;A;GDP. Bajo;Graduate
2081;Ciencias de la Salud;1;Desemp. Basico;0;1;0;MB;Desemp. Alto;Unemployment R. Bajo;M;GDP. Medio;Graduate
2082;Ciencias de la Salud;1;Desemp. Basico;1;1;0;B;Desemp. Alto;Unemployment R. Superior;M;GDP. Muy Bajo;Graduate
2083;Ciencias Sociales;1;Desemp. Basico;1;1;0;MB;Desemp. Alto;Unemployment R. Alto;B;GDP. Medio;Graduate
2084;Ciencias Sociales;1;Desemp. Basico;0;1;1;MB;Desemp. Alto;Unemployment R. Medio;B;GDP. Alto;Graduate
2085;Ciencias Sociales;1;Desemp. Basico;0;0;0;MB;Desemp. Muy Bajo;Unemployment R. Alto;A;GDP. Bajo;Dropout
2086;Ciencias Sociales;0;Desemp. Basico;0;1;0;MB;Desemp. Muy Bajo;Unemployment R. Medio;M;GDP. Medio;Dropout
2087;Ciencias Agrarias;1;Desemp. Alto;1;1;0;B;Desemp. Alto;Unemployment R. Alto;B;GDP. Medio;Dropout
2088;Ciencias de la Salud;1;Desemp. Basico;1;1;1;MB;Desemp. Basico;Unemployment R. Bajo;M;GDP. Medio;Graduate
2089;Diseno;1;Desemp. Basico;0;0;0;MB;Desemp. Bajo;Unemployment R. Bajo;B;GDP. Muy Bajo;Dropout
2090;Ciencias de la Salud;1;Desemp. Basico;1;1;0;MB;Desemp. Alto;Unemployment R. Bajo;M;GDP. Medio;Graduate
2091;Ciencias de la Salud;1;Desemp. Basico;1;1;0;B;Desemp. Basico;Unemployment R. Bajo;B;GDP. Muy Bajo;Enrolled
2092;Ciencias de la Salud;1;Desemp. Basico;0;1;0;B;Desemp. Alto;Unemployment R. Alto;A;GDP. Bajo;Graduate
2093;Ciencias de la Salud;1;Desemp. Basico;1;1;0;MB;Desemp. Alto;Unemployment R. Bajo;M;GDP. Medio;Graduate
2094;Ciencias Sociales;1;Desemp. Basico;1;0;0;B;Desemp. Superior;Unemployment R. Alto;A;GDP. Bajo;Dropout
2095;Ciencias Agrarias;1;Desemp. Basico;0;1;0;IA;Desemp. Basico;Unemployment R. Superior;M;GDP. Muy Bajo;Graduate
2096;Ciencias de la Salud;1;Desemp. Basico;0;1;0;MB;Desemp. Muy Bajo;Unemployment R. Alto;B;GDP. Medio;Dropout
2097;Ciencias Sociales;1;Desemp. Bajo;1;1;0;B;Desemp. Basico;Unemployment R. Alto;B;GDP. Medio;Graduate
2098;Ciencias de la Salud;1;Desemp. Basico;0;1;1;B;Desemp. Basico;Unemployment R. Bajo;B;GDP. Muy Bajo;Graduate
2099;Ciencias Sociales;1;Desemp. Basico;1;1;0;B;Desemp. Basico;Unemployment R. Superior;B;GDP. Bajo;Dropout
2100;Ciencias Sociales;1;Desemp. Basico;0;1;0;B;Desemp. Bajo;Unemployment R. Superior;M;GDP. Muy Bajo;Enrolled
2101;Ciencias Sociales;0;Desemp. Basico;0;1;0;B;Desemp. Bajo;Unemployment R. Superior;B;GDP. Bajo;Graduate
2102;Ciencias de la Salud;1;Desemp. Basico;1;1;1;B;Desemp. Basico;Unemployment R. Superior;M;GDP. Muy Bajo;Graduate
2103;Ciencias Sociales;1;Desemp. Basico;1;0;0;B;Desemp. Bajo;Unemployment R. Bajo;M;GDP. Medio;Dropout
2104;Ciencias Sociales;1;Desemp. Basico;0;1;1;B;Desemp. Bajo;Unemployment R. Superior;B;GDP. Bajo;Graduate
2105;Ciencias de la Salud;1;Desemp. Basico;0;1;1;B;Desemp. Basico;Unemployment R. Superior;B;GDP. Bajo;Enrolled
2106;Diseno;1;Desemp. Basico;1;1;0;MB;Desemp. Alto;Unemployment R. Bajo;B;GDP. Muy Bajo;Enrolled
2107;Ciencias Sociales;1;Desemp. Basico;1;1;0;MB;Desemp. Basico;Unemployment R. Bajo;B;GDP. Muy Bajo;Graduate
